EconState,XPState,TowerState,DragonState,VisionState,FightState,Action,Q_Value,IsBestAction
Econ_Even,XP_Even,TowerEven,DragonEven,HighVision,WinningFight,Tower_Push,4.048664093017578,False
Econ_Even,XP_Even,TowerEven,DragonEven,HighVision,WinningFight,Safe_Farm,3.826029062271118,False
Econ_Even,XP_Even,TowerEven,DragonEven,HighVision,WinningFight,Dragon_Control,3.7883970737457275,False
Econ_Even,XP_Even,TowerEven,DragonEven,HighVision,WinningFight,Vision_Control,4.132513999938965,False
Econ_Even,XP_Even,TowerEven,DragonEven,HighVision,WinningFight,Group_Attack,4.176000595092773,True
Econ_Even,XP_Even,TowerEven,DragonEven,HighVision,WinningFight,Baron_Control,3.8021810054779053,False
Econ_HardBehind,XP_Behind,TowerBehind,DragonBehind,MedVision,EvenFight,Tower_Push,2.5603036880493164,False
Econ_HardBehind,XP_Behind,TowerBehind,DragonBehind,MedVision,EvenFight,Safe_Farm,2.467787981033325,False
Econ_HardBehind,XP_Behind,TowerBehind,DragonBehind,MedVision,EvenFight,Dragon_Control,2.3502514362335205,False
Econ_HardBehind,XP_Behind,TowerBehind,DragonBehind,MedVision,EvenFight,Vision_Control,3.093593120574951,True
Econ_HardBehind,XP_Behind,TowerBehind,DragonBehind,MedVision,EvenFight,Group_Attack,2.4680302143096924,False
Econ_HardBehind,XP_Behind,TowerBehind,DragonBehind,MedVision,EvenFight,Baron_Control,2.022770404815674,False
Econ_Behind,XP_Behind,TowerEven,DragonAhead,MedVision,LosingFight,Tower_Push,3.760239839553833,False
Econ_Behind,XP_Behind,TowerEven,DragonAhead,MedVision,LosingFight,Safe_Farm,3.852433681488037,False
Econ_Behind,XP_Behind,TowerEven,DragonAhead,MedVision,LosingFight,Dragon_Control,4.047943592071533,False
Econ_Behind,XP_Behind,TowerEven,DragonAhead,MedVision,LosingFight,Vision_Control,3.676248788833618,False
Econ_Behind,XP_Behind,TowerEven,DragonAhead,MedVision,LosingFight,Group_Attack,3.7147819995880127,False
Econ_Behind,XP_Behind,TowerEven,DragonAhead,MedVision,LosingFight,Baron_Control,4.06559944152832,True
Econ_Behind,XP_Even,TowerEven,DragonEven,HighVision,EvenFight,Tower_Push,3.9204108715057373,True
Econ_Behind,XP_Even,TowerEven,DragonEven,HighVision,EvenFight,Safe_Farm,3.6542460918426514,False
Econ_Behind,XP_Even,TowerEven,DragonEven,HighVision,EvenFight,Dragon_Control,3.4165403842926025,False
Econ_Behind,XP_Even,TowerEven,DragonEven,HighVision,EvenFight,Vision_Control,3.887986898422241,False
Econ_Behind,XP_Even,TowerEven,DragonEven,HighVision,EvenFight,Group_Attack,3.5749685764312744,False
Econ_Behind,XP_Even,TowerEven,DragonEven,HighVision,EvenFight,Baron_Control,3.5394816398620605,False
Econ_Behind,XP_Even,TowerEven,DragonBehind,HighVision,EvenFight,Tower_Push,3.618661880493164,False
Econ_Behind,XP_Even,TowerEven,DragonBehind,HighVision,EvenFight,Safe_Farm,3.2806379795074463,False
Econ_Behind,XP_Even,TowerEven,DragonBehind,HighVision,EvenFight,Dragon_Control,2.8528668880462646,False
Econ_Behind,XP_Even,TowerEven,DragonBehind,HighVision,EvenFight,Vision_Control,3.6257457733154297,True
Econ_Behind,XP_Even,TowerEven,DragonBehind,HighVision,EvenFight,Group_Attack,3.319903612136841,False
Econ_Behind,XP_Even,TowerEven,DragonBehind,HighVision,EvenFight,Baron_Control,3.081289052963257,False
Econ_Even,XP_Even,TowerEven,DragonAhead,LowVision,EvenFight,Tower_Push,4.246933460235596,False
Econ_Even,XP_Even,TowerEven,DragonAhead,LowVision,EvenFight,Safe_Farm,4.393625736236572,False
Econ_Even,XP_Even,TowerEven,DragonAhead,LowVision,EvenFight,Dragon_Control,4.576107025146484,True
Econ_Even,XP_Even,TowerEven,DragonAhead,LowVision,EvenFight,Vision_Control,3.9234983921051025,False
Econ_Even,XP_Even,TowerEven,DragonAhead,LowVision,EvenFight,Group_Attack,4.373761177062988,False
Econ_Even,XP_Even,TowerEven,DragonAhead,LowVision,EvenFight,Baron_Control,4.502579212188721,False
Econ_Ahead,XP_Dominating,TowerEven,DragonAhead,LowVision,EvenFight,Tower_Push,4.555688381195068,False
Econ_Ahead,XP_Dominating,TowerEven,DragonAhead,LowVision,EvenFight,Safe_Farm,4.781695365905762,False
Econ_Ahead,XP_Dominating,TowerEven,DragonAhead,LowVision,EvenFight,Dragon_Control,4.8630194664001465,False
Econ_Ahead,XP_Dominating,TowerEven,DragonAhead,LowVision,EvenFight,Vision_Control,4.0683488845825195,False
Econ_Ahead,XP_Dominating,TowerEven,DragonAhead,LowVision,EvenFight,Group_Attack,4.694357395172119,False
Econ_Ahead,XP_Dominating,TowerEven,DragonAhead,LowVision,EvenFight,Baron_Control,4.893087387084961,True
Econ_HardBehind,XP_Behind,TowerEven,DragonBehind,MedVision,LosingFight,Tower_Push,3.3339786529541016,False
Econ_HardBehind,XP_Behind,TowerEven,DragonBehind,MedVision,LosingFight,Safe_Farm,3.2031686305999756,False
Econ_HardBehind,XP_Behind,TowerEven,DragonBehind,MedVision,LosingFight,Dragon_Control,2.888629198074341,False
Econ_HardBehind,XP_Behind,TowerEven,DragonBehind,MedVision,LosingFight,Vision_Control,3.4052317142486572,True
Econ_HardBehind,XP_Behind,TowerEven,DragonBehind,MedVision,LosingFight,Group_Attack,3.15775465965271,False
Econ_HardBehind,XP_Behind,TowerEven,DragonBehind,MedVision,LosingFight,Baron_Control,2.9745659828186035,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,MedVision,EvenFight,Tower_Push,3.7130355834960938,True
Econ_Behind,XP_Behind,TowerEven,DragonBehind,MedVision,EvenFight,Safe_Farm,3.4363510608673096,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,MedVision,EvenFight,Dragon_Control,3.1066291332244873,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,MedVision,EvenFight,Vision_Control,3.4871771335601807,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,MedVision,EvenFight,Group_Attack,3.4970133304595947,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,MedVision,EvenFight,Baron_Control,2.996858596801758,False
Econ_Behind,XP_HardBehind,TowerEven,DragonAhead,MedVision,EvenFight,Tower_Push,3.5807368755340576,False
Econ_Behind,XP_HardBehind,TowerEven,DragonAhead,MedVision,EvenFight,Safe_Farm,3.5723085403442383,False
Econ_Behind,XP_HardBehind,TowerEven,DragonAhead,MedVision,EvenFight,Dragon_Control,3.816328763961792,False
Econ_Behind,XP_HardBehind,TowerEven,DragonAhead,MedVision,EvenFight,Vision_Control,3.5195558071136475,False
Econ_Behind,XP_HardBehind,TowerEven,DragonAhead,MedVision,EvenFight,Group_Attack,3.443861722946167,False
Econ_Behind,XP_HardBehind,TowerEven,DragonAhead,MedVision,EvenFight,Baron_Control,3.8917126655578613,True
Econ_Even,XP_HardBehind,TowerEven,DragonBehind,HighVision,EvenFight,Tower_Push,3.3995940685272217,False
Econ_Even,XP_HardBehind,TowerEven,DragonBehind,HighVision,EvenFight,Safe_Farm,3.3976292610168457,False
Econ_Even,XP_HardBehind,TowerEven,DragonBehind,HighVision,EvenFight,Dragon_Control,3.0953257083892822,False
Econ_Even,XP_HardBehind,TowerEven,DragonBehind,HighVision,EvenFight,Vision_Control,3.6754648685455322,True
Econ_Even,XP_HardBehind,TowerEven,DragonBehind,HighVision,EvenFight,Group_Attack,3.549213409423828,False
Econ_Even,XP_HardBehind,TowerEven,DragonBehind,HighVision,EvenFight,Baron_Control,3.046269416809082,False
Econ_Behind,XP_Behind,TowerEven,DragonEven,HighVision,EvenFight,Tower_Push,3.597464084625244,False
Econ_Behind,XP_Behind,TowerEven,DragonEven,HighVision,EvenFight,Safe_Farm,3.3502304553985596,False
Econ_Behind,XP_Behind,TowerEven,DragonEven,HighVision,EvenFight,Dragon_Control,3.2257702350616455,False
